Object_Identificator,Bonus,Onus_0,Onus_1,Onus_2,Onus_3,Onus_4,Onus_5,Onus_6,Onus_7,Onus_8,Onus_9
0,250.79141,307.27951,872.96413,549.76862,736.12685,99.38471,67.30487,51.72366,122.84264,341.25766,471.06374
1,945.61957,557.07271,552.90406,485.77213,931.20648,490.06344,16.20893,167.13337,435.10044,458.08274,398.20169
2,351.2076,240.80457,608.40118,862.81671,257.99859,798.033,640.86699,762.69496,418.89887,157.17317,6.39751
3,645.8411,509.01931,689.37827,464.52209,562.59574,697.37269,836.57412,341.3746,1.75856,516.55182,16.48458
4,651.4599,56.04324,669.1204,22.53258,13.39641,268.16184,266.66723,748.65174,228.53,910.2989,854.73052
5,435.37248,960.98655,305.21101,176.62291,761.25073,730.58316,371.01946,891.41724,607.37549,520.41817,493.13243
6,222.86622,869.2088,6.45304,488.39329,401.0591,599.552,632.4275,650.61461,66.9113,395.11065,516.30082
7,566.83271,251.78192,653.21848,946.77796,871.24495,766.75524,584.04192,795.46693,711.42522,8.03938,63.9448
8,818.00149,634.215,662.54564,356.43088,833.12522,911.48845,416.12058,494.29652,671.31982,419.40705,242.536
9,437.40352,561.11019,277.73396,91.45501,524.71825,953.25798,737.34095,828.44549,601.19198,870.7978,237.20516
