Object_Identificator,Bonus,Onus_0,Onus_1,Onus_2,Onus_3,Onus_4,Onus_5,Onus_6,Onus_7,Onus_8,Onus_9,Onus_10,Onus_11,Onus_12,Onus_13,Onus_14,Onus_15,Onus_16,Onus_17,Onus_18,Onus_19,Onus_20,Onus_21,Onus_22,Onus_23,Onus_24,Onus_25,Onus_26,Onus_27,Onus_28,Onus_29,Onus_30,Onus_31,Onus_32,Onus_33,Onus_34,Onus_35,Onus_36,Onus_37,Onus_38,Onus_39,Onus_40,Onus_41,Onus_42,Onus_43,Onus_44,Onus_45,Onus_46,Onus_47,Onus_48,Onus_49,Onus_50,Onus_51,Onus_52,Onus_53,Onus_54,Onus_55,Onus_56,Onus_57,Onus_58,Onus_59,Onus_60,Onus_61,Onus_62,Onus_63,Onus_64,Onus_65,Onus_66,Onus_67,Onus_68,Onus_69,Onus_70,Onus_71,Onus_72,Onus_73,Onus_74,Onus_75,Onus_76,Onus_77,Onus_78,Onus_79,Onus_80,Onus_81,Onus_82,Onus_83,Onus_84,Onus_85,Onus_86,Onus_87,Onus_88,Onus_89,Onus_90,Onus_91,Onus_92,Onus_93,Onus_94,Onus_95,Onus_96,Onus_97,Onus_98,Onus_99,Onus_100,Onus_101,Onus_102,Onus_103,Onus_104,Onus_105,Onus_106,Onus_107,Onus_108,Onus_109
0,873.77827,200.21913,778.30208,252.91607,644.01601,143.22295,34.20664,256.35094,391.89259,25.48633,600.93208,74.22271,472.53405,194.47787,817.0682,519.40796,206.94349,368.07264,7.82077,695.93503,48.95929,947.83278,94.67394,438.07454,595.10206,362.65691,782.41539,59.4549,789.43056,778.05106,537.52251,21.77476,686.14837,850.44602,19.04767,112.22792,180.77084,712.42492,464.52014,558.24984,415.22401,996.86774,62.63822,373.04261,519.18756,423.85148,2.99551,832.94966,342.1035,640.84544,228.67467,564.68883,367.09868,141.12491,761.05848,72.07056,67.45369,434.79087,560.63434,666.79369,224.76953,55.6565,321.24496,389.50733,330.31853,550.14525,101.84446,265.55605,474.2461,929.9038,100.94513,761.15176,278.91782,500.41998,181.0387,694.36487,264.29086,268.42903,428.58101,18.13816,576.93085,71.68016,763.54228,149.41014,100.74003,222.96189,611.46938,456.68857,821.12974,25.31846,580.41168,127.13668,412.41494,645.09393,635.07489,749.44097,80.42496,42.53163,203.48098,320.75537,384.70062,753.45951,765.79311,608.96884,475.38411,456.75224,644.54793,276.44203,5.85128,331.57536,741.97826
1,135.92325,846.99872,495.43262,450.7633,225.54117,206.39593,947.57311,7.65036,940.24856,544.58136,646.30359,898.52973,376.15588,624.03905,610.86259,455.3028,986.39625,326.23269,840.65788,224.79607,268.81913,549.78143,519.44193,803.30892,782.89781,813.4997,872.04435,704.1296,460.6247,86.01588,751.32556,717.20276,223.10616,115.30052,263.90817,194.8763,609.96417,213.81459,535.63465,90.54753,782.72983,24.97344,220.02825,513.95894,956.88636,955.02214,658.82032,375.32806,935.68304,646.64583,620.23802,742.98364,47.24679,850.07988,816.84472,175.45745,951.58649,228.85719,372.28515,58.21864,526.59102,17.43902,204.70965,217.02211,551.2242,41.27574,478.44236,912.38323,191.41533,986.1676,239.32292,182.99429,303.33297,373.98957,644.44338,183.82587,490.3158,829.38541,506.25009,607.25208,285.11146,792.66317,568.02498,795.42965,443.22799,787.51888,442.64468,572.30514,708.21903,903.25272,531.81065,917.40991,49.33783,361.55872,210.01643,355.95793,249.55643,411.83425,472.44364,858.68987,973.83493,71.51602,390.42313,938.59448,486.35562,878.73533,686.65113,646.60691,389.25062,619.61485,255.32544
2,146.06609,955.20104,175.51379,680.92704,511.6165,562.67881,679.67728,237.35078,682.92649,118.96414,346.51476,760.304,210.62071,29.61438,634.17662,624.86418,195.158,834.89105,392.04746,123.70666,774.82725,103.07202,119.04562,65.99543,957.61215,878.51949,584.79108,130.45464,257.09647,154.00194,339.97159,415.81235,247.69092,353.27595,133.19658,470.41488,461.68173,660.37267,17.43014,953.61762,407.20517,974.56317,694.32955,345.11079,165.96658,805.55603,753.90336,601.82723,391.22585,768.51626,146.79404,165.90576,307.76785,929.26106,932.89187,844.18232,579.24053,882.78268,431.14177,286.79408,246.09502,677.75458,369.53892,942.2752,824.54838,619.03821,156.4278,835.30596,335.67912,664.22329,414.28226,41.50445,661.51271,861.86409,215.49415,574.75164,350.27248,407.01077,749.24175,760.78841,217.88897,712.28701,836.53419,535.28184,681.87295,844.69696,652.23771,903.66856,34.94898,574.97573,558.42282,855.45045,543.97527,502.35896,656.55147,327.99334,350.14547,560.308,510.04899,691.62646,239.31666,300.70083,792.18455,60.77974,988.5106,191.43519,744.95387,685.90166,541.1706,352.60813,227.46118
3,873.26466,392.38592,692.65796,728.08636,59.32806,367.98941,442.17091,591.09294,415.39863,369.67611,686.08902,741.58766,573.31062,5.59058,56.08012,154.15759,628.69884,785.09513,972.50284,319.87546,352.25009,632.14204,201.63234,494.90781,69.48102,115.84426,468.27042,183.62453,35.4103,164.95421,127.2486,43.26483,615.82156,86.90471,304.0472,241.40552,159.23114,126.11368,445.95352,731.56038,662.45231,608.80647,325.92779,650.8574,989.71035,401.54563,906.61485,596.78552,24.64475,56.64372,811.97773,169.08902,430.02764,400.04202,268.87303,479.10534,675.8771,724.02159,50.2226,171.49019,775.31032,830.69602,44.0207,688.87873,968.06962,483.00068,138.57326,170.12113,745.63818,907.45322,350.40913,71.70687,537.70826,428.56906,815.91868,80.74021,298.9796,755.61632,802.4612,787.17185,711.33602,754.4672,28.46169,609.41447,31.18386,215.78168,256.89031,94.84224,351.47527,428.29346,557.70157,749.97585,141.91303,687.48218,351.7621,638.42952,971.58886,799.87761,492.22488,949.31791,335.98127,402.27216,837.93103,496.26208,579.75729,119.31256,508.80369,917.9955,706.84937,824.54339,351.07143
4,758.20018,115.01082,75.15279,285.33726,211.98322,361.89508,355.60733,201.43047,229.73098,728.55689,916.06597,946.40843,702.85283,84.93349,713.76473,743.64302,262.99714,888.10948,993.85961,784.87901,408.83458,334.8051,596.73135,534.64768,42.96179,771.08207,783.11121,800.70548,830.11816,285.95629,18.52129,427.4748,16.95989,493.1518,404.45693,498.50995,313.7905,228.7663,699.26794,348.25876,758.89933,244.86791,99.6517,216.64176,791.34347,408.06367,597.6126,428.17277,684.76055,691.36451,419.69921,775.33458,485.58598,534.01162,87.64,696.89273,69.21403,86.22265,979.94936,311.98122,774.85317,592.26634,909.6527,981.54358,860.33966,196.32801,201.37791,832.54129,549.83294,316.72366,995.59032,631.02286,809.47153,322.52938,412.28012,997.01799,716.39042,142.53243,395.35441,49.87408,341.34714,146.75558,564.62078,384.76795,329.31679,627.62023,160.6201,25.91179,896.86673,949.65093,614.3637,672.87061,873.60135,750.2274,272.66624,904.8742,802.23482,769.70896,662.03542,773.47194,190.93164,335.48478,82.07224,381.10632,578.43481,100.77008,409.35003,744.95074,643.95021,405.59957,695.83783
5,26.67478,90.89583,322.30134,413.31361,475.25901,172.76974,439.81244,719.82634,426.60365,574.57046,690.24272,851.18671,687.98843,401.25029,680.5276,560.08185,197.63747,98.53421,287.01436,555.51352,616.28,44.05854,623.20454,501.91033,201.52252,701.78222,928.01899,749.78455,79.83197,117.79961,228.37156,556.59091,637.76829,628.64825,892.59118,242.75876,100.38306,849.22109,750.39749,570.73756,228.33175,278.03346,288.69541,531.55918,743.54142,881.45697,373.59599,785.04653,121.26801,145.65469,403.20867,554.97177,187.20705,146.40215,317.27517,625.33029,345.89945,175.31998,317.44883,769.27602,381.20717,33.20091,517.06435,525.48636,639.75932,162.74595,342.16099,328.95901,173.67497,972.50231,843.81245,32.5735,20.97622,239.06939,498.08754,456.3837,403.9841,455.056,557.00701,656.40602,11.83907,681.88302,187.31109,722.99601,576.83528,644.71677,752.57326,560.59253,660.86388,130.26364,6.69743,993.67678,154.59016,711.59919,178.94878,337.03248,417.56654,774.50571,900.2234,338.4653,113.33247,350.78001,761.31192,383.92155,982.78989,998.87221,185.08303,977.91342,413.71901,486.27144,870.15136
6,332.39586,469.05115,109.28688,254.1089,125.03827,824.14952,347.30852,252.54036,925.59757,497.14392,547.31821,808.64338,722.45472,54.80846,262.06815,466.90363,186.43513,558.4609,832.18437,605.0644,973.74841,45.67533,517.18914,72.83718,872.56485,280.93315,108.3106,592.50409,604.61303,791.00146,280.90092,627.39728,103.68963,851.59943,63.27987,946.68617,958.86608,413.44239,130.79816,633.4831,377.44482,140.01176,620.3944,792.17934,764.33076,692.32616,513.48284,701.03829,143.206,676.43145,843.17093,266.1407,323.68418,519.34712,490.65473,66.99414,745.11212,108.5718,963.78105,746.85008,807.72123,977.80355,708.0661,835.52334,15.35863,250.18184,264.28735,818.66855,807.89187,554.20243,376.37826,651.93178,814.81401,463.85425,851.35169,558.98911,553.73833,842.81,953.23007,166.17437,753.16394,234.08407,530.23846,427.45555,611.44088,576.89599,788.72149,928.71759,929.37804,768.48558,425.08367,696.64272,609.01416,488.28362,809.37319,384.16062,630.34826,809.90195,623.87331,126.64646,486.34648,586.67031,869.68983,575.99001,141.58865,613.87794,611.68842,401.1248,600.01745,71.55122,272.61702
7,82.13368,781.48127,287.24477,314.8522,661.40613,402.01696,9.53855,972.78138,52.19353,19.29394,890.11662,613.89696,800.13009,71.53062,913.67681,583.34669,142.0784,424.15882,853.75729,557.29031,541.19199,17.65992,964.37813,235.19709,216.38214,684.879,543.84148,519.13739,86.66243,203.38827,978.11375,911.90715,553.59713,332.36392,799.19677,803.35699,12.88506,432.41185,609.37605,496.69797,227.67946,563.70364,698.56979,196.24316,729.00453,137.98262,212.22201,120.91145,339.68025,369.43428,122.5281,578.40305,866.16116,754.77776,259.20512,607.4218,676.04199,897.84608,972.22133,787.06643,691.78786,260.76132,504.79926,927.63287,3.41358,832.04865,757.3107,409.99235,591.98712,302.43976,44.5387,120.09454,178.13823,448.94011,219.5007,627.40768,402.54229,605.59254,530.00779,67.9221,756.44748,207.57945,803.69273,776.1685,824.95562,878.38569,884.85872,517.88738,529.91353,272.52815,591.11723,235.64616,338.37999,202.7348,659.18843,11.47844,787.25494,821.0736,284.92415,931.2788,386.11859,976.97327,613.97512,928.51293,186.1274,842.78207,944.58106,44.34018,840.32243,939.77329,721.3012
8,377.95298,470.4743,263.67942,7.06119,830.57133,159.71112,742.50422,711.80944,653.50113,895.0761,133.26795,234.0304,593.41158,176.70432,263.95224,770.45647,764.28689,592.84099,317.13036,726.04943,60.0454,195.04235,473.96589,7.64371,422.14233,981.54203,473.49379,277.6811,940.91247,977.36413,214.59517,852.06136,519.47494,671.16583,582.21269,495.72489,502.93532,423.20393,802.28864,86.94608,739.25456,862.33145,185.03816,847.1819,491.18657,63.48207,458.43891,739.60719,785.33728,142.50017,772.00249,209.39859,77.27357,814.65988,568.27092,913.80126,535.33093,817.21756,402.48876,918.34533,719.76858,830.38099,243.16385,271.06478,372.30006,539.93625,562.93574,542.35293,274.07311,485.20436,738.60698,622.28798,245.8519,410.571,451.72285,475.69099,606.67268,953.23122,405.66901,357.44777,449.31482,362.54186,136.65166,52.67653,230.8329,937.28351,844.60516,695.96521,800.37199,355.75833,737.593,664.1656,818.17261,412.75807,237.00132,228.44911,478.2972,267.90515,421.27026,821.00004,81.70814,459.84761,522.89973,319.74357,24.63914,797.2248,349.92938,117.83623,268.33431,217.80858,826.35215
9,346.10316,756.56241,107.23378,915.51479,37.43461,765.40111,848.05162,639.19971,862.43045,255.10785,587.86746,780.59984,114.70512,994.16612,651.59956,776.59408,604.81364,686.51395,155.84599,479.0591,726.9952,797.11484,513.0225,541.4782,728.49333,777.92752,724.62238,448.5222,657.70976,940.12165,421.37818,675.76695,972.44844,14.77604,161.5505,645.52435,142.39725,541.75233,240.06073,41.34612,773.26875,576.52846,164.88721,624.60818,410.01323,305.17784,897.18038,590.41978,958.30712,595.22368,714.86661,242.48336,242.28871,756.73602,241.49948,357.21866,885.63124,870.22864,881.88791,820.70937,623.48127,169.52952,308.20282,333.00985,40.22084,715.13815,739.26257,9.93629,871.11133,517.70355,571.69507,308.00708,360.78917,339.31101,389.18381,838.18512,211.31763,390.92477,770.68624,7.27452,242.93743,844.10116,568.68657,48.30533,112.97785,720.11859,834.56857,219.09074,509.91322,299.08454,566.90432,521.69084,956.8228,679.4132,745.12003,903.49667,82.31507,806.86413,881.7752,333.74012,495.58903,39.50647,743.41422,750.33656,652.52109,118.26529,958.1865,104.37485,122.52149,678.16671,776.77189
